name,year,wins,losses,goals_for,goals_against,win_percentage
Columbus Blue Jackets,2001,22,47,164,255,0.3188405797101449
Chicago Blackhawks,2001,41,27,216,207,0.6029411764705882
Colorado Avalanche,2001,45,28,212,169,0.6164383561643836
Dallas Stars,2001,36,28,215,213,0.5625
Detroit Red Wings,2001,51,17,251,187,0.75
Edmonton Oilers,2001,38,28,205,182,0.5757575757575758
Florida Panthers,2001,22,44,180,250,0.3333333333333333
Los Angeles Kings,2001,40,27,214,190,0.5970149253731343
Minnesota Wild,2001,26,35,195,238,0.4262295081967213
Montreal Canadiens,2001,36,31,207,209,0.5373134328358209
Nashville Predators,2001,28,41,196,230,0.4057971014492754
New Jersey Devils,2001,41,28,205,187,0.5942028985507246
New York Islanders,2001,42,28,239,220,0.6
New York Rangers,2001,36,38,227,258,0.4864864864864865
Ottawa Senators,2001,39,27,243,208,0.5909090909090909
Philadelphia Flyers,2001,42,27,234,192,0.6086956521739131
Phoenix Coyotes,2001,40,27,228,210,0.5970149253731343
Pittsburgh Penguins,2001,28,41,198,249,0.4057971014492754
San Jose Sharks,2001,44,27,248,199,0.6197183098591549
St. Louis Blues,2001,43,27,227,188,0.6142857142857143
Tampa Bay Lightning,2001,27,40,178,219,0.40298507462686567
Toronto Maple Leafs,2001,43,25,249,207,0.6323529411764706
Vancouver Canucks,2001,42,30,254,211,0.5833333333333334
Washington Capitals,2001,36,33,228,240,0.5217391304347826
Mighty Ducks of Anaheim,2002,40,27,203,193,0.5970149253731343
Atlanta Thrashers,2002,31,39,226,284,0.44285714285714284
Boston Bruins,2002,36,31,245,237,0.5373134328358209
Buffalo Sabres,2002,27,37,190,219,0.421875
Calgary Flames,2002,29,36,186,228,0.4461538461538462
Carolina Hurricanes,2002,22,43,171,240,0.3384615384615385
Columbus Blue Jackets,2002,29,42,213,263,0.4084507042253521
Chicago Blackhawks,2002,30,33,207,226,0.47619047619047616
Colorado Avalanche,2002,42,19,251,194,0.6885245901639344
Dallas Stars,2002,46,17,245,169,0.7301587301587301
Detroit Red Wings,2002,48,20,269,203,0.7058823529411765
Edmonton Oilers,2002,36,26,231,230,0.5806451612903226
Florida Panthers,2002,24,36,176,237,0.4
Los Angeles Kings,2002,33,37,203,221,0.4714285714285714
Minnesota Wild,2002,42,29,198,178,0.5915492957746479
Montreal Canadiens,2002,30,35,206,234,0.46153846153846156
Nashville Predators,2002,27,35,183,206,0.43548387096774194
New Jersey Devils,2002,46,20,216,166,0.696969696969697
New York Islanders,2002,35,34,224,231,0.5072463768115942
New York Rangers,2002,32,36,210,231,0.47058823529411764
Ottawa Senators,2002,52,21,263,182,0.7123287671232876
Philadelphia Flyers,2002,45,20,211,166,0.6923076923076923
Phoenix Coyotes,2002,31,35,204,230,0.4696969696969697
Pittsburgh Penguins,2002,27,44,189,255,0.38028169014084506
San Jose Sharks,2002,28,37,214,239,0.4307692307692308
St. Louis Blues,2002,41,24,253,222,0.6307692307692307
Tampa Bay Lightning,2002,36,25,219,210,0.5901639344262295
Toronto Maple Leafs,2002,44,28,236,208,0.6111111111111112
Vancouver Canucks,2002,45,23,264,208,0.6617647058823529
Washington Capitals,2002,39,29,224,220,0.5735294117647058
Mighty Ducks of Anaheim,2003,29,35,184,213,0.453125
Atlanta Thrashers,2003,33,37,214,243,0.4714285714285714
Boston Bruins,2003,41,19,209,188,0.6833333333333333
Buffalo Sabres,2003,37,34,220,221,0.5211267605633803
Calgary Flames,2003,42,30,200,176,0.5833333333333334
Carolina Hurricanes,2003,28,34,172,209,0.45161290322580644
Columbus Blue Jackets,2003,25,45,177,238,0.35714285714285715
Chicago Blackhawks,2003,20,43,188,259,0.31746031746031744
Colorado Avalanche,2003,40,22,236,198,0.6451612903225806
Dallas Stars,2003,41,26,194,175,0.6119402985074627
Detroit Red Wings,2003,48,21,255,189,0.6956521739130435
Edmonton Oilers,2003,36,29,221,208,0.5538461538461539
Florida Panthers,2003,28,35,188,221,0.4444444444444444
Los Angeles Kings,2003,28,29,205,217,0.49122807017543857
Minnesota Wild,2003,30,29,188,183,0.5084745762711864
Montreal Canadiens,2003,41,30,208,192,0.5774647887323944
Nashville Predators,2003,38,29,216,217,0.5671641791044776
New Jersey Devils,2003,43,25,213,164,0.6323529411764706
New York Islanders,2003,38,29,237,210,0.5671641791044776
New York Rangers,2003,27,40,206,250,0.40298507462686567
Ottawa Senators,2003,43,23,262,189,0.6515151515151515
Philadelphia Flyers,2003,40,21,229,186,0.6557377049180327
Phoenix Coyotes,2003,22,36,188,245,0.3793103448275862
Pittsburgh Penguins,2003,23,47,190,303,0.32857142857142857
San Jose Sharks,2003,43,21,219,183,0.671875
St. Louis Blues,2003,39,30,191,198,0.5652173913043478
Tampa Bay Lightning,2003,46,22,245,192,0.6764705882352942
Toronto Maple Leafs,2003,45,24,242,204,0.6521739130434783
Vancouver Canucks,2003,43,24,235,194,0.6417910447761194
Washington Capitals,2003,23,46,186,253,0.3333333333333333
Mighty Ducks of Anaheim,2005,43,27,254,229,0.6142857142857143
Atlanta Thrashers,2005,41,33,281,275,0.5540540540540541
Boston Bruins,2005,29,37,230,266,0.4393939393939394
Buffalo Sabres,2005,52,24,281,239,0.6842105263157895
Calgary Flames,2005,46,25,218,200,0.647887323943662
Carolina Hurricanes,2005,52,22,294,260,0.7027027027027027
Columbus Blue Jackets,2005,35,43,223,279,0.44871794871794873
Chicago Blackhawks,2005,26,43,211,285,0.37681159420289856
Colorado Avalanche,2005,43,30,283,257,0.589041095890411
Dallas Stars,2005,53,23,265,218,0.6973684210526315
Detroit Red Wings,2005,58,16,305,209,0.7837837837837838
Edmonton Oilers,2005,41,28,256,251,0.5942028985507246
Florida Panthers,2005,37,34,240,257,0.5211267605633803
Los Angeles Kings,2005,42,35,249,270,0.5454545454545454
Minnesota Wild,2005,38,36,231,215,0.5135135135135135
Montreal Canadiens,2005,42,31,243,247,0.5753424657534246
Nashville Predators,2005,49,25,259,227,0.6621621621621622
New Jersey Devils,2005,46,27,242,229,0.6301369863013698
New York Islanders,2005,36,40,230,278,0.47368421052631576
New York Rangers,2005,44,26,257,215,0.6285714285714286
Ottawa Senators,2005,52,21,314,211,0.7123287671232876
Philadelphia Flyers,2005,45,26,267,259,0.6338028169014085
Phoenix Coyotes,2005,38,39,246,271,0.4935064935064935
Pittsburgh Penguins,2005,22,46,244,316,0.3235294117647059
San Jose Sharks,2005,44,27,266,242,0.6197183098591549
St. Louis Blues,2005,21,46,197,292,0.31343283582089554
Tampa Bay Lightning,2005,43,33,252,260,0.5657894736842105
Toronto Maple Leafs,2005,41,33,257,270,0.5540540540540541
Vancouver Canucks,2005,42,32,256,255,0.5675675675675675
Washington Capitals,2005,29,41,237,306,0.4142857142857143
Anaheim Ducks,2006,48,20,258,208,0.7058823529411765
Atlanta Thrashers,2006,43,28,246,245,0.6056338028169014
Boston Bruins,2006,35,41,219,289,0.4605263157894737
Buffalo Sabres,2006,53,22,308,242,0.7066666666666667
Calgary Flames,2006,43,29,258,226,0.5972222222222222
Carolina Hurricanes,2006,40,34,241,253,0.5405405405405406
Columbus Blue Jackets,2006,33,42,201,249,0.44
Chicago Blackhawks,2006,31,42,201,258,0.4246575342465753
Colorado Avalanche,2006,44,31,272,251,0.5866666666666667
Dallas Stars,2006,50,25,226,197,0.6666666666666666
Detroit Red Wings,2006,50,19,254,199,0.7246376811594203
Edmonton Oilers,2006,32,43,195,248,0.4266666666666667
Florida Panthers,2006,35,31,247,257,0.5303030303030303
Los Angeles Kings,2006,27,41,227,283,0.39705882352941174
Minnesota Wild,2006,48,26,235,191,0.6486486486486487
Montreal Canadiens,2006,42,34,245,256,0.5526315789473685
Nashville Predators,2006,51,23,272,212,0.6891891891891891
New Jersey Devils,2006,49,24,216,201,0.6712328767123288
New York Islanders,2006,40,30,248,240,0.5714285714285714
New York Rangers,2006,42,30,242,216,0.5833333333333334
Ottawa Senators,2006,48,25,288,222,0.6575342465753424
Philadelphia Flyers,2006,22,48,214,303,0.3142857142857143
Phoenix Coyotes,2006,31,46,216,284,0.4025974025974026
Pittsburgh Penguins,2006,47,24,277,246,0.6619718309859155
San Jose Sharks,2006,51,26,258,199,0.6623376623376623
St. Louis Blues,2006,34,35,214,254,0.4927536231884058
Tampa Bay Lightning,2006,44,33,253,261,0.5714285714285714
Toronto Maple Leafs,2006,40,31,258,269,0.5633802816901409
Vancouver Canucks,2006,49,26,222,201,0.6533333333333333
Washington Capitals,2006,28,40,235,286,0.4117647058823529
Anaheim Ducks,2007,47,27,205,191,0.6351351351351351
Atlanta Thrashers,2007,34,40,216,272,0.4594594594594595
Boston Bruins,2007,41,29,212,222,0.5857142857142857
Buffalo Sabres,2007,39,31,255,242,0.5571428571428572
Calgary Flames,2007,42,30,229,227,0.5833333333333334
Carolina Hurricanes,2007,43,33,252,249,0.5657894736842105
Columbus Blue Jackets,2007,34,36,193,218,0.4857142857142857
Chicago Blackhawks,2007,40,34,239,235,0.5405405405405406
Colorado Avalanche,2007,44,31,231,219,0.5866666666666667
Dallas Stars,2007,45,30,242,207,0.6
Detroit Red Wings,2007,54,21,257,184,0.72
Edmonton Oilers,2007,41,35,235,251,0.5394736842105263
Florida Panthers,2007,38,35,216,226,0.5205479452054794
Los Angeles Kings,2007,32,43,231,266,0.4266666666666667
Minnesota Wild,2007,44,28,223,218,0.6111111111111112
Montreal Canadiens,2007,47,25,262,222,0.6527777777777778
Nashville Predators,2007,41,32,230,229,0.5616438356164384
New Jersey Devils,2007,46,29,206,197,0.6133333333333333
New York Islanders,2007,35,38,194,243,0.4794520547945205
New York Rangers,2007,42,27,213,199,0.6086956521739131
Ottawa Senators,2007,43,31,261,247,0.581081081081081
Philadelphia Flyers,2007,42,29,248,233,0.5915492957746479
Phoenix Coyotes,2007,38,37,214,231,0.5066666666666667
Pittsburgh Penguins,2007,47,27,247,216,0.6351351351351351
San Jose Sharks,2007,49,23,222,193,0.6805555555555556
St. Louis Blues,2007,33,36,205,237,0.4782608695652174
Tampa Bay Lightning,2007,31,42,223,267,0.4246575342465753
Toronto Maple Leafs,2007,36,35,231,260,0.5070422535211268
Vancouver Canucks,2007,39,33,213,215,0.5416666666666666
Washington Capitals,2007,43,31,242,231,0.581081081081081
Anaheim Ducks,2008,42,33,245,238,0.56
Atlanta Thrashers,2008,35,41,257,280,0.4605263157894737
Boston Bruins,2008,53,19,274,196,0.7361111111111112
Buffalo Sabres,2008,41,32,250,234,0.5616438356164384
Calgary Flames,2008,46,30,254,248,0.6052631578947368
Carolina Hurricanes,2008,45,30,239,226,0.6
Columbus Blue Jackets,2008,41,31,226,230,0.5694444444444444
Chicago Blackhawks,2008,46,24,264,216,0.6571428571428571
Colorado Avalanche,2008,32,45,199,257,0.4155844155844156
Dallas Stars,2008,36,35,230,257,0.5070422535211268
Detroit Red Wings,2008,51,21,295,244,0.7083333333333334
